import time: self [us] | cumulative | imported package
import time:      2165 |     271648 |   urllib3
import time:      1031 |       1031 |       chardet
import time:      1766 |       1766 |             importlib
import time:      3326 |       3326 |             charset_normalizer.constant
import time:      1626 |       1626 |               charset_normalizer.md__mypyc
import time:      1874 |       1874 |                 unicodedata
import time:       144 |        144 |                 _multibytecodec
import time:      1449 |       3465 |               charset_normalizer.utils
import time:      2192 |       7282 |             charset_normalizer.md
import time:      3180 |       3180 |             charset_normalizer.models
import time:      1934 |      17486 |           charset_normalizer.cd
import time:      1887 |      19373 |         charset_normalizer.api
import time:      1824 |       1824 |         charset_normalizer.legacy
import time:       979 |        979 |         charset_normalizer.version
import time:      1612 |      23787 |       charset_normalizer
import time:      1124 |       1124 |       simplejson
import time:      1152 |       1152 |               org
import time:        55 |       1207 |             org.python
import time:        52 |       1259 |           org.python.core
import time:      1861 |       3120 |         copy
import time:      2438 |       2438 |           tempfile
import time:      1436 |       1436 |             urllib.response
import time:      2642 |       4077 |           urllib.error
import time:      1693 |       1693 |           nturl2path
import time:      3845 |      12052 |         urllib.request
import time:      5210 |      20380 |       http.cookiejar
import time:      3101 |       3101 |       http.cookies
import time:      1059 |      50481 |     requests.compat
import time:      1680 |      52160 |   requests.exceptions
import time:      1082 |       1082 |   chardet
import time:       924 |        924 |     chardet
import time:      1128 |       1128 |       idna.package_data
import time:      1013 |       1013 |         idna.idnadata
import time:       945 |        945 |         idna.intranges
import time:      1821 |       3778 |       idna.core
import time:      2887 |       7793 |     idna
import time:      1263 |       9978 |   requests.packages
import time:      2264 |       2264 |         importlib._abc
import time:       366 |       2630 |       importlib.util
import time:      3286 |       3286 |       pathlib
import time:      3348 |       9263 |     zipfile
import time:      1680 |       1680 |               importlib.resources.abc
import time:      1579 |       1579 |               importlib.resources._adapters
import time:      1878 |       5136 |             importlib.resources._common
import time:      3364 |       3364 |             importlib.resources._legacy
import time:      1594 |      10094 |           importlib.resources
import time:      1181 |      11275 |         certifi.core
import time:      1494 |      12768 |       certifi
import time:       915 |      13683 |     requests.certs
import time:       911 |        911 |     requests.__version__
import time:      1632 |       1632 |     requests._internal_utils
import time:      1171 |       1171 |     requests.cookies
import time:       990 |        990 |     requests.structures
import time:      2591 |       2591 |         importlib.resources._itertools
import time:      1723 |       4314 |       importlib.resources.readers
import time:      1349 |       5663 |     importlib.readers
import time:      1868 |      35177 |   requests.utils
import time:      1338 |       1338 |         requests.auth
import time:      1919 |       1919 |             stringprep
import time:      2362 |       4280 |           encodings.idna
import time:       979 |        979 |           requests.hooks
import time:      1525 |       1525 |           requests.status_codes
import time:      1692 |       8474 |         requests.models
import time:      1000 |       1000 |           urllib3.contrib
import time:      2174 |       2174 |           socks
import time:      1788 |       4961 |         urllib3.contrib.socks
import time:      1478 |      16250 |       requests.adapters
import time:      1277 |      17527 |     requests.sessions
import time:       999 |      18525 |   requests.api
import time:      1898 |     390465 | requests
import time:      2738 |       2738 | difflib
import time:      1254 |       1254 |     termios
import time:      1898 |       3152 |   getpass
import time:      3118 |       3118 |     gettext
import time:      2844 |       5961 |   optparse
import time:      2034 |       2034 |     glob
import time:      1986 |       1986 |             xml
